time,center_ci,center_cs,center_cv,center_xi,center_xv
2.77e-06,2.7639403039166e-08,1,2.7647067280111e-08,0.075643143355545,0.075664118746209
2.78e-06,2.7738773248497e-08,1,2.7746492867216e-08,0.075915098396651,0.075936225344456
2.79e-06,2.7838139128357e-08,1,2.7845914323584e-08,0.07618704158892,0.076208320637761
2.8e-06,2.7937500664132e-08,1,2.7945331634594e-08,0.076458972892357,0.076480404586104
2.81e-06,2.8036857841211e-08,1,2.8044744785625e-08,0.076730892266974,0.076752477149473
2.82e-06,2.8136210644985e-08,1,2.814415376206e-08,0.077002799672789,0.077024538287865
2.83e-06,2.8235559060849e-08,1,2.8243558549284e-08,0.07727469506983,0.07729658796128
2.84e-06,2.8334903074198e-08,1,2.8342959132684e-08,0.077546578418129,0.077568626129728
2.85e-06,2.8434242670431e-08,1,2.8442355497651e-08,0.077818449677727,0.077840652753225
2.86e-06,2.8533577834951e-08,1,2.8541747629577e-08,0.078090308808669,0.078112667791794
2.87e-06,2.8632908553161e-08,1,2.8641135513858e-08,0.078362155771011,0.078384671205464
2.88e-06,2.8732234810467e-08,1,2.8740519135892e-08,0.078633990524814,0.078656662954274
2.89e-06,2.883155659228e-08,1,2.8839898481078e-08,0.078905813030147,0.078928642998265
2.9e-06,2.8930873884011e-08,1,2.893927353482e-08,0.079177623247084,0.07920061129749
2.91e-06,2.9030186671074e-08,1,2.9038644282523e-08,0.079449421135708,0.079472567812007
2.92e-06,2.9129494938888e-08,1,2.9138010709596e-08,0.07972120665611,0.079744512501881
2.93e-06,2.9228798672871e-08,1,2.9237372801449e-08,0.079992979768387,0.080016445327185
2.94e-06,2.9328097858446e-08,1,2.9336730543495e-08,0.080264740432643,0.080288366247997
2.95e-06,2.9427392481039e-08,1,2.9436083921151e-08,0.080536488608989,0.080560275224405
2.96e-06,2.9526682526076e-08,1,2.9535432919836e-08,0.080808224257545,0.080832172216502
2.97e-06,2.9625967978989e-08,1,2.963477752497e-08,0.081079947338437,0.08110405718439
2.98e-06,2.9725248825211e-08,1,2.9734117721977e-08,0.081351657811799,0.081375930088177
2.99e-06,2.9824525050177e-08,1,2.9833453496284e-08,0.081623355637771,0.081647790887979
3e-06,2.9923796639326e-08,1,2.9932784833321e-08,0.081895040776501,0.081919639543918
3.01e-06,3.0023063578099e-08,1,3.0032111718519e-08,0.082166713188147,0.082191476016126
3.02e-06,3.012232585194e-08,1,3.0131434137313e-08,0.082438372832869,0.082463300264739
3.03e-06,3.0221583446296e-08,1,3.023075207514e-08,0.08271001967084,0.082735112249903
3.04e-06,3.0320836346616e-08,1,3.033006551744e-08,0.082981653662237,0.083006911931771
3.05e-06,3.0420084538352e-08,1,3.0429374449656e-08,0.083253274767246,0.083278699270501
